tpsgenD89.VP;tpsgenD89.TC;id_menage;id_personne;id_chaine;Id_boucle;coep;D7_residence;nbactif;nbpers+18ans;taille_menage;nombre_VP;motorisation;habitat;occupation_logement;occupation;niveau_etudes;permis;abonnementTC;age;age0-17;age18-25;age26-35;age36-45;age46-59;age60+;sexe;D7_origine;D7_destination;Densite89;motif_ori;motif_dest;Premier_mode;tps_gen_VP_D89;tps_gen_TC_D89;lnage18
11,3855;28,75333333;10213300;10213301;1021330112;102133011;53,61539;1;2;2;2;1;0,5;4;3;1;6;1;2;52;0;0;0;0;1;0;2;1;1;204,9504598;TRAVAIL;DOMI;TC;11,3855;28,75333333;3,555348061
52,55833333;47,45216667;10214500;10214501;1021450112;102145011;89,72162;1;1;1;1;0;0;4;3;1;6;1;2;26;0;0;1;0;0;0;2;2;1;145,7543533;TRAVAIL;DOMI;TC;52,55833333;47,45216667;2,197224577
137,18255;108,0461667;10215600;10215602;1021560212;102156021;75,92326;1;2;3;3;2;0,666666667;4;3;1;5;1;4;60;0;0;0;0;0;1;1;6;1;11,02020303;TRAVAIL;DOMI;VP;137,18255;108,0461667;3,761200116
60,95733167;69,44883333;10215600;10215603;1021560312;102156031;65,97416;1;2;3;3;2;0,666666667;4;3;2;4;2;4;23;0;1;0;0;0;0;1;4;1;37,79854604;TRAVAIL;DOMI;VP;60,95733167;69,44883333;1,791759469
27,08083333;39,22516667;10216000;10216001;1021600112;102160011;100,4614;1;2;5;5;2;0,4;4;1;1;6;1;4;60;0;0;0;0;0;1;1;2;1;328,0848725;TRAVAIL;DOMI;VP;27,08083333;39,22516667;3,761200116
151,0703333;93,94;10216300;10216301;1021630112;102163011;75,33832;1;1;1;1;1;1;4;3;1;6;1;4;23;0;1;0;0;0;0;1;4;1;7,411225131;TRAVAIL;DOMI;VP;151,0703333;93,94;1,791759469
108,7426533;69,668;10216800;10216801;1021680112;102168011;65,42272;1;2;2;3;2;1;4;2;1;6;1;4;43;0;0;0;1;0;0;1;5;1;24,89714932;TRAVAIL;DOMI;VP;108,7426533;69,668;3,258096538
29,141;43,92483333;10216800;10216802;1021680212;102168021;78,56968;1;2;2;3;2;1;4;2;1;6;1;4;31;0;0;1;0;0;0;2;2;1;56,63406921;TRAVAIL;DOMI;VP;29,141;43,92483333;2,63905733
57,031;49,27566667;10300400;10300401;1030040122;103004012;80,28983;1;1;1;1;1;1;4;3;1;8;1;2;25;0;1;0;0;0;0;1;3;1;63,61945371;TRAVAIL;DOMI;TC;57,031;49,27566667;2,079441542
89,2905;82,53416667;10301000;10301001;1030100112;103010011;60,29434;1;2;2;2;0;0;4;3;2;3;2;4;23;0;1;0;0;0;0;1;7;1;15,45500068;TRAVAIL;DOMI;TC;89,2905;82,53416667;1,791759469
6,9455;26,94033333;10301000;10301002;1030100212;103010021;60,29434;1;2;2;2;0;0;4;3;1;4;2;4;19;0;1;0;0;0;0;2;1;1;319,0987983;TRAVAIL;DOMI;TC;6,9455;26,94033333;0,693147181
69,33637;65,75583333;10301300;10301301;1030130112;103013011;80,28983;1;1;1;1;1;1;4;3;1;6;1;4;30;0;0;1;0;0;0;2;4;1;37,79854604;TRAVAIL;DOMI;VP;69,33637;65,75583333;2,564949357
35,675565;47,1825;10301700;10301701;1030170112;103017011;37,53373;1;1;1;1;2;2;4;1;1;6;1;2;65;0;0;0;0;0;1;2;2;1;56,63406921;TRAVAIL;DOMI;TC;35,675565;47,1825;3,871201011
28,0255;31,468;10302300;10302302;1030230222;103023022;108,2004;1;1;2;2;1;0,5;4;3;2;5;1;4;61;0;0;0;0;0;1;2;2;1;330,407284;TRAVAIL;DOMI;TC;28,0255;31,468;3,784189634
126,4698333;69,95866667;10303800;10303801;1030380112;103038011;58,64257;1;1;1;1;1;1;4;1;1;6;1;4;24;0;1;0;0;0;0;2;6;1;8,019605776;TRAVAIL;DOMI;VP;126,4698333;69,95866667;1,945910149
